"","X.3","X.2","X.1","X","React","Reward","keyResponse","Bank","Subnum","Sex","Race","Ethnicity","Bonus","Condition","OptimChoice","Trial","Block","SubjID"
"1",1,1,1,1,6544,450,2,450,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,1,1,1
"2",2,2,2,2,3938,300,3,750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,2,1,1
"3",3,3,3,3,1908,250,4,1000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,3,1,1
"4",4,4,4,4,1508,500,1,1500,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,4,1,1
"5",5,5,5,5,1738,500,1,2000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,5,1,1
"6",6,6,6,6,1454,500,1,2500,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,6,1,1
"7",7,7,7,7,2980,500,1,3000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,7,1,1
"8",8,8,8,8,2319,0,1,3000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,8,1,1
"9",9,9,9,9,1731,500,1,3500,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,9,1,1
"10",10,10,10,10,1064,500,1,4000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,10,1,1
"11",11,11,11,11,1324,500,1,4500,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,11,1,1
"12",12,12,12,12,2156,500,1,5000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,12,1,1
"13",13,13,13,13,4205,0,1,5000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,13,1,1
"14",14,14,14,14,396,500,1,5500,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,14,1,1
"15",15,15,15,15,659,450,2,5950,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,15,1,1
"16",16,16,16,16,523,300,3,6250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,16,1,1
"17",17,17,17,17,381,500,1,6750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,17,1,1
"18",18,18,18,18,344,500,1,7250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,18,1,1
"19",19,19,19,19,549,500,1,7750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,19,1,1
"20",20,20,20,20,411,0,1,7750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,20,1,1
"21",21,21,21,21,549,500,1,8250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,21,1,1
"22",22,22,22,22,514,500,1,8750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,22,1,1
"23",23,23,23,23,509,500,1,9250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,23,1,1
"24",24,24,24,24,397,500,1,9750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,24,1,1
"25",25,25,25,25,372,0,1,9750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,25,1,1
"26",26,26,26,26,309,500,1,10250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,26,2,1
