model_name,test_fold,val_fold,num_layer,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
BaselineRNN,0,1,1,2,400,0.005,50,0.6036925997052874,0.6746678096870982,0.6745550019108093,0.7455768439309756,1216,1117,./Results/NN_Results/rnn/dd/dd_rnn_fold0_1layer_2hidden.pt
BaselineRNN,1,2,1,2,400,0.005,50,0.5880314792905535,0.6810787671232876,0.6810620404435346,0.7547219186306051,1214,1122,./Results/NN_Results/rnn/dd/dd_rnn_fold1_1layer_2hidden.pt
BaselineRNN,2,3,1,2,400,0.005,50,0.6160690529005868,0.6783276450511946,0.6781511772861254,0.7339761513636944,1136,1208,./Results/NN_Results/rnn/dd/dd_rnn_fold2_1layer_2hidden.pt
BaselineRNN,3,4,1,2,400,0.005,50,0.5934165120124817,0.6875536480686695,0.6831087201671195,0.7480642597008854,1363,967,./Results/NN_Results/rnn/dd/dd_rnn_fold3_1layer_2hidden.pt
BaselineRNN,4,0,1,2,400,0.005,50,0.6067815167563302,0.6788008565310493,0.6760343180482069,0.7469459141681365,1343,992,./Results/NN_Results/rnn/dd/dd_rnn_fold4_1layer_2hidden.pt
BaselineRNN,0,1,1,4,400,0.005,50,0.6020140818187169,0.6746678096870982,0.6743782520504453,0.7471775141840844,1290,1043,./Results/NN_Results/rnn/dd/dd_rnn_fold0_1layer_4hidden.pt
BaselineRNN,1,2,1,4,400,0.005,50,0.5900810616356986,0.684931506849315,0.684920280628607,0.75102970702004,1199,1137,./Results/NN_Results/rnn/dd/dd_rnn_fold1_1layer_4hidden.pt
BaselineRNN,2,3,1,4,400,0.005,50,0.6074080637523106,0.6723549488054608,0.6723521256393229,0.7425207233814499,1166,1178,./Results/NN_Results/rnn/dd/dd_rnn_fold2_1layer_4hidden.pt
BaselineRNN,3,4,1,4,400,0.005,50,0.5957683069365365,0.6793991416309013,0.6748987854251012,0.7464684894533489,1364,966,./Results/NN_Results/rnn/dd/dd_rnn_fold3_1layer_4hidden.pt
BaselineRNN,4,0,1,4,400,0.005,50,0.6029291152954102,0.6775160599571735,0.6738921957671957,0.7490376984126984,1392,943,./Results/NN_Results/rnn/dd/dd_rnn_fold4_1layer_4hidden.pt
BaselineRNN,0,1,1,8,400,0.005,50,0.6011525051934379,0.6763823403343335,0.6761835993767822,0.7500992150983332,1252,1081,./Results/NN_Results/rnn/dd/dd_rnn_fold0_1layer_8hidden.pt
BaselineRNN,1,2,1,8,400,0.005,50,0.5921887499945504,0.6789383561643836,0.6789285915865662,0.7537217155846221,1195,1141,./Results/NN_Results/rnn/dd/dd_rnn_fold1_1layer_8hidden.pt
BaselineRNN,2,3,1,8,400,0.005,50,0.6074744973863874,0.6629692832764505,0.663652091852784,0.7430679342444049,1284,1060,./Results/NN_Results/rnn/dd/dd_rnn_fold2_1layer_8hidden.pt
BaselineRNN,3,4,1,8,400,0.005,50,0.5966933199337551,0.6871244635193133,0.6836355905570037,0.7464026768713142,1326,1004,./Results/NN_Results/rnn/dd/dd_rnn_fold3_1layer_8hidden.pt
BaselineRNN,4,0,1,8,400,0.005,50,0.6043409023966108,0.6792291220556745,0.6747703556731335,0.7463789682539683,1440,895,./Results/NN_Results/rnn/dd/dd_rnn_fold4_1layer_8hidden.pt
BaselineRNN,0,1,1,16,400,0.005,50,0.6057587436267308,0.6729532790398628,0.6729550665843549,0.740567216391804,1168,1165,./Results/NN_Results/rnn/dd/dd_rnn_fold0_1layer_16hidden.pt
BaselineRNN,1,2,1,16,400,0.005,50,0.5970125283513751,0.6793664383561644,0.6793453123133095,0.744454169149765,1226,1110,./Results/NN_Results/rnn/dd/dd_rnn_fold1_1layer_16hidden.pt
BaselineRNN,2,3,1,16,400,0.005,50,0.6089234011513847,0.6838737201365188,0.6840769284540911,0.7392738661121013,1201,1143,./Results/NN_Results/rnn/dd/dd_rnn_fold2_1layer_16hidden.pt
BaselineRNN,3,4,1,16,400,0.005,50,0.6025758045060294,0.6733905579399142,0.6716636163644094,0.7420790120718024,1256,1074,./Results/NN_Results/rnn/dd/dd_rnn_fold3_1layer_16hidden.pt
BaselineRNN,4,0,1,16,400,0.005,50,0.6099675382886615,0.6689507494646681,0.666220238095238,0.7432113462669019,1340,995,./Results/NN_Results/rnn/dd/dd_rnn_fold4_1layer_16hidden.pt
BaselineRNN,0,1,1,32,400,0.005,50,0.6087554863521031,0.6720960137162452,0.6722697474792015,0.7387908986683129,1096,1237,./Results/NN_Results/rnn/dd/dd_rnn_fold0_1layer_32hidden.pt
BaselineRNN,1,2,1,32,400,0.005,50,0.5998332670756749,0.6866438356164384,0.6866450719567109,0.7454503405968085,1165,1171,./Results/NN_Results/rnn/dd/dd_rnn_fold1_1layer_32hidden.pt
BaselineRNN,2,3,1,32,400,0.005,50,0.6068401762417385,0.6574232081911263,0.6585069262404903,0.7324863397527757,1353,991,./Results/NN_Results/rnn/dd/dd_rnn_fold2_1layer_32hidden.pt
BaselineRNN,3,4,1,32,400,0.005,50,0.6060198034558978,0.6768240343347639,0.6776976688296082,0.7376089327639436,1156,1174,./Results/NN_Results/rnn/dd/dd_rnn_fold3_1layer_32hidden.pt
BaselineRNN,4,0,1,32,400,0.005,50,0.6136461666652134,0.6728051391862955,0.6718786743092299,0.7402123750734861,1237,1098,./Results/NN_Results/rnn/dd/dd_rnn_fold4_1layer_32hidden.pt
