participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,128.37963724285126,"[3.28491266455018, 0.7063280610945003]",[0.01519525 0.83266239],260.7592744857025,267.802196321427
2,135.85686002757564,"[2.308550841608353, 0.8835128754986324]",[1.000e-04 9.999e-01],275.71372005515127,282.75664189087576
3,137.21117393773577,"[1.0373036460138942, 0.9252201656522749]",[0.82568336 0.9999    ],278.42234787547153,285.465269711196
4,137.24315493794947,"[2.537390038659332, 0.7186323512911211]",[1.000e-04 9.999e-01],278.48630987589894,285.5292317116234
5,135.8568512373842,"[0.9511390106576078, 0.9244138298753876]",[1.000e-04 9.999e-01],275.7137024747684,282.7566243104929
6,124.8632222056678,"[1.3197640879308161, 0.5704575850500626]",[0.05748178 0.93633863],253.7264444113356,260.7693662470601
7,115.42041530866422,"[2.282375123026197, 0.7514368810159099]",[0.02072301 0.70034482],234.84083061732844,241.88375245305292
8,135.8569004048606,"[0.14263622539160953, 0.35908372961216833]",[1.000e-04 9.999e-01],275.7138008097212,282.7567226454457
9,130.35499249442532,"[0.1330541895645825, 0.7819891552918619]",[0.00300718 0.40834804],264.70998498885064,271.7529068245751
10,137.2431427132018,"[2.268615205078812, 0.8684968289209406]",[1.000e-04 9.999e-01],278.4862854264036,285.52920726212807
11,129.04158436332142,"[4.62609299828162, 0.2411163489012008]",[0.08153249 0.98110361],262.08316872664284,269.1260905623673
12,135.85685618007892,"[4.249329161291368, 0.7857167197408382]",[1.000e-04 9.999e-01],275.71371236015784,282.7566341958823
13,135.8568771945467,"[4.819663838889799, 0.823123900243263]",[1.000e-04 9.999e-01],275.7137543890934,282.7566762248179
14,134.47057802650545,"[0.9787944618052765, 0.6644953500450896]",[1.000e-04 9.999e-01],272.9411560530109,279.9840778887354
15,137.2431732038579,"[0.39446367423830725, 0.8264887372525298]",[1.000e-04 9.999e-01],278.4863464077158,285.5292682434403
16,135.8568579670525,"[0.04055529343513536, 0.5852692347101976]",[1.000e-04 9.999e-01],275.713715934105,282.75663776982947
17,137.24314477466962,"[1.2800817135244742, 0.567127638305953]",[1.000e-04 9.999e-01],278.48628954933923,285.5292113850637
18,133.180576078688,"[0.2589872328185618, 0.05898612442553706]",[0.00957382 0.83368335],270.361152157376,277.4040739931005
19,130.3116998874623,"[0.24987310681521857, 0.1217779368064436]",[1.000e-04 9.999e-01],264.6233997749246,271.6663216106491
20,116.85013785086188,"[2.976843284801541, 0.19666562902712287]",[0.00367262 0.72524511],237.70027570172377,244.74319753744825
21,119.33047267644798,"[1.9891765895160725, 0.4460304234446563]",[0.15247201 0.96112656],242.66094535289596,249.70386718862045
22,128.3772781569732,"[3.9764762658064425, 0.6103956234374807]",[0.00087208 0.37578334],260.7545563139464,267.7974781496709
23,133.7719163549108,"[0.9036216942624365, 0.5573132327506457]",[0.00036111 0.02712646],271.5438327098216,278.58675454554606
24,133.0842612788354,"[4.991994660967729, 0.8338299802724962]",[1.000e-04 9.999e-01],270.1685225576708,277.2114443933953
25,134.4705678606038,"[1.1378377616055744, 0.48834183125762154]",[1.000e-04 9.999e-01],272.9411357212076,279.9840575569321
26,137.09016788155125,"[1.693848692664009, 0.24998233331235997]",[0.00016844 0.0001    ],278.1803357631025,285.223257598827
27,135.08057640988463,"[4.974618722309342, 0.883046430788421]",[2.68515858 0.9999    ],274.16115281976926,281.20407465549374
28,133.08427185251014,"[2.168912207056128, 0.7365850974940356]",[1.000e-04 9.999e-01],270.1685437050203,277.21146554074477
29,98.7363277935389,"[1.0089831589778833, 0.4191059142738253]",[0.00108904 0.01710637],201.4726555870778,208.5155774228023
30,137.24314573747242,"[0.726276586970574, 0.8698151427080322]",[1.000e-04 9.999e-01],278.48629147494484,285.5292133106693
31,122.92666884539702,"[1.0710194122737902, 0.2894206492654339]",[0.01444798 0.69371055],249.85333769079404,256.8962595265185
32,131.69798875534917,"[1.3921874622065982, 0.229251444348503]",[1.000e-04 9.999e-01],267.39597751069834,274.43889934642283
33,97.48245725567948,"[1.451601168838758, 0.35708067089451434]",[0.00063109 0.0001    ],198.96491451135896,206.00783634708344
34,101.78162053754936,"[2.066208071326912, 0.9821889714917297]",[4.2417197 0.9999   ],207.56324107509872,214.6061629108232
35,127.62652870585706,"[3.7480213490169154, 0.8862276137025622]",[3.47385511 0.9999    ],259.2530574117141,266.2959792474386
36,127.38631989235162,"[3.6264531080665514, 0.8680939143154054]",[0.01130611 0.7759478 ],258.77263978470324,265.81556162042773
37,135.52513168258636,"[0.02745255432146604, 0.121621133036647]",[0.01094827 0.96316296],275.0502633651727,282.0931852008972
38,128.92542255675173,"[4.6616812241700485, 0.7541221973570229]",[1.000e-04 9.999e-01],261.85084511350345,268.89376694922794
39,122.9394053584004,"[4.207037783050285, 0.5997258628912563]",[0.00580379 0.44457779],249.8788107168008,256.9217325525253
40,137.24315809328405,"[0.6302370302520798, 0.5318675026555464]",[1.000e-04 9.999e-01],278.4863161865681,285.5292380222926
41,133.08430001115536,"[1.4747607561804545, 0.6994068927752658]",[1.000e-04 9.999e-01],270.1686000223107,277.2115218580352
42,137.24317540135948,"[2.468618763345448, 0.3001582402382447]",[1.000e-04 9.999e-01],278.48635080271896,285.52927263844344
43,137.24314463804055,"[0.619878301177171, 0.16971489331895448]",[1.000e-04 9.999e-01],278.4862892760811,285.5292111118056
44,138.60456506505895,"[0.508145769246845, 0.9725092891413993]",[0.75641381 0.9999    ],281.2091301301179,288.2520519658424
45,137.9717823721477,"[0.5751019147309465, 0.21287175629833976]",[1.92100163 0.9999    ],279.9435647442954,286.98648658001986
