participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,123.54108221531357,"[0.1037509589299402, 0.862925690189716]",[0.00306291 0.54269621],251.08216443062713,258.1250862663516
2,135.85693870421736,"[1.2062699248687736, 0.09555527372767542]",[0.0001 0.0001],275.7138774084347,282.7567992441592
3,124.34860765070663,"[1.3179563996200907, 0.12270293209439224]",[0.01406549 0.13491491],252.69721530141325,259.74013713713776
4,130.90592195029032,"[0.31893504231684927, 0.7996725546437713]",[0.00444586 0.27225335],265.81184390058064,272.8547657363051
5,135.8568945010584,"[0.07086770577985378, 0.7830050437292059]",[0.0001 0.0001],275.7137890021168,282.7567108378413
6,124.82118378552525,"[0.9470044242765743, 0.13200188005647487]",[0.00206008 0.76305189],253.6423675710505,260.685289406775
7,119.9845256631765,"[0.13369765704654396, 0.07554204491798948]",[0.00801424 0.27542508],243.969051326353,251.01197316207748
8,135.85696712866846,"[1.3101382368738712, 0.017836809047787783]",[0.0001 0.0001],275.7139342573369,282.7568560930614
9,133.54351773768474,"[0.7554031475809563, 0.3867928150742268]",[0.00149462 0.53587288],271.0870354753695,278.12995731109396
10,137.2432572595151,"[1.2685177745412242, 0.4329299223507623]",[0.0001 0.0001],278.4865145190302,285.5294363547547
11,128.50977987472393,"[2.324661457847868, 0.16447123305952158]",[0.001937   0.50437647],261.01955974944786,268.06248158517235
12,135.85691497979377,"[0.40188986009642974, 0.19269431969451722]",[0.0001 0.0001],275.71382995958754,282.756751795312
13,135.85699402501535,"[1.712308035880374, 0.20360989237480015]",[0.0001 0.0001],275.7139880500307,282.7569098857552
14,134.47062629568129,"[0.03017312895818777, 0.5530253760178583]",[0.0001 0.0001],272.94125259136257,279.98417442708705
15,134.13938413960233,"[0.2742620690742064, 0.6435132953599881]",[0.00218386 0.4381449 ],272.27876827920466,279.32169011492914
16,132.51538242109012,"[1.2207321421215895, 0.3863950485654653]",[0.00455834 0.18856371],269.03076484218025,276.07368667790473
17,133.15162923247237,"[0.5352098567767243, 0.20382345621851303]",[0.00299765 0.32562016],270.30325846494475,277.34618030066923
18,125.17999739317109,"[1.4622806032585873, 0.03754187265480933]",[0.00628946 0.27314916],254.35999478634218,261.4029166220667
19,130.18306038833134,"[0.1394014306707356, 0.7908471321851452]",[0.00042171 0.32585587],264.3661207766627,271.40904261238717
20,113.31133046602193,"[1.1196417468250204, 0.5232556285573849]",[0.00418375 0.32724894],230.62266093204386,237.66558276776834
