participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC,Condition
1,106.01507941586875,"[4.69371867333034, 0.03871260197942813]",[0.54336945 0.09877493],106.01507941586875,216.03015883173757,223.073080667462,LV
2,126.72637404095006,"[0.26333004400014315, 0.5354929237820645]",[3.03437912 0.86878943],126.72637404095006,257.4527480819001,264.49566991762464,LV
3,117.70092266635152,"[1.7032539020388668, 0.6486802843072169]",[0.14100919 0.02313627],117.70092266635152,239.40184533270303,246.44476716842752,LV
4,129.38941245331787,"[0.9021495051163244, 0.013150633924116424]",[0.6214606  0.15963986],129.38941245331787,262.77882490663575,269.82174674236023,LV
5,84.49805668956273,"[0.5624697973860505, 0.8408484717172845]",[1.14961316 0.20546474],84.49805668956273,172.99611337912546,180.03903521484995,LV
6,88.85556948990688,"[1.1870458460187745, 0.5073856216260538]",[1.93903308 0.45078338],88.85556948990688,181.71113897981377,188.75406081553825,LV
7,90.44781490155948,"[1.675401727452051, 0.27671751633672614]",[0.74095815 0.12979124],90.44781490155948,184.89562980311896,191.93855163884345,LV
8,84.80925380530594,"[0.09513757130452734, 0.27476064318120025]",[0.44983863 0.0532396 ],84.80925380530594,173.61850761061189,180.6614294463364,LV
9,63.26357449760902,"[4.405225437593041, 0.6625435950512768]",[0.3369862  0.03359184],63.26357449760902,130.52714899521806,137.57007083094254,LV
10,115.86432750930096,"[2.294081545385351, 0.6223457647689394]",[1.06295125 0.23498908],115.86432750930096,235.7286550186019,242.7715768543264,LV
11,60.99353840246661,"[1.23306403819297, 0.15821564667603086]",[1.26985144 0.19948037],60.99353840246661,125.98707680493322,133.0299986406577,LV
12,121.9152735774594,"[1.3142123684491933, 0.8045404524305153]",[0.22134605 0.0396722 ],121.9152735774594,247.8305471549188,254.8734689906433,LV
13,88.91599034783816,"[1.2175862702587084, 0.9170609771843218]",[1.8701291 0.4403438],88.91599034783816,181.83198069567632,188.8749025314008,LV
14,119.31743386903266,"[1.9821051943988885, 0.07800238828401766]",[1.25852849 0.34074167],119.31743386903266,242.6348677380653,249.6777895737898,LV
15,119.38412729189848,"[4.879610413559733, 0.4006360623809725]",[0.95071914 0.23041624],119.38412729189848,242.76825458379696,249.81117641952144,LV
16,74.82871908608176,"[1.3284245012918796, 0.6902705034567493]",[2.16788091 0.46636418],74.82871908608176,153.65743817216352,160.700360007888,LV
17,98.57613556444844,"[3.128869391484691, 0.19869996759615643]",[0.75793672 0.14510418],98.57613556444844,201.15227112889687,208.19519296462136,LV
18,29.35254524678869,"[3.187344545780955, 0.16685838402146766]",[0.5517539  0.02779511],29.35254524678869,62.70509049357738,69.74801232930187,LV
19,160.58980701765535,"[2.7429843289369638, 0.08464833797306708]",[0.22017924 0.07844806],160.58980701765535,325.17961403531075,332.22253587103523,LV
20,162.1964778777834,"[1.051797528996497, 0.6821377681432805]",[0.55612234 0.25429794],162.1964778777834,328.3929557555668,335.4358775912913,LV
21,81.32390812467091,"[2.7858077868635576, 0.9810977274375682]",[0.20359671 0.02066288],81.32390812467091,166.64781624934182,173.6907380850663,LV
22,80.57258212992589,"[4.322703109912731, 0.09793136569152334]",[1.17619392 0.21604753],80.57258212992589,165.14516425985178,172.18808609557627,LV
