participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,136.29365948658875,"[3.423498205339204, 0.5591928125610952]",[0.92887325 0.9999    ],136.29365948658875,276.5873189731775,283.630240808902
2,173.28679542396324,"[2.7185896986893554, 0.18383003131419826]",[0.0001 0.0001],173.28679542396324,350.5735908479265,357.61651268365097
3,169.9202038307134,"[0.42270433083357883, 0.7041883768218365]",[0.44688007 0.64530529],169.9202038307134,343.8404076614268,350.8833294971513
4,159.36868013653114,"[0.8117814715293121, 0.822731843677362]",[0.56936308 0.9999    ],159.36868013653114,322.7373602730623,329.78028210878676
5,154.48137605310976,"[2.577865101939133, 0.6683124339739825]",[0.80639245 0.48388067],154.48137605310976,312.9627521062195,320.005673941944
6,122.15369006021476,"[3.050420113386396, 0.8607389129012099]",[0.91655017 0.9999    ],122.15369006021476,248.3073801204295,255.350301956154
7,127.33543827142432,"[0.31555821763643394, 0.9829385527463672]",[0.9714813 0.9999   ],127.33543827142432,258.67087654284865,265.71379837857313
8,172.83501207060885,"[0.2486608771826479, 0.6778486489266021]",[0.1095397 0.9999   ],172.83501207060885,349.6700241412177,356.7129459769422
9,173.286797125053,"[2.2065192881763607, 0.6865960565326937]",[0.0001 0.0001],173.286797125053,350.573594250106,357.6165160858305
10,64.96275851331048,"[2.1444070143115974, 0.0715931152043376]",[2.36917564 0.05254811],64.96275851331048,133.92551702662095,140.96843886234544
11,172.92155030385436,"[1.931220499438449, 0.2838676320475057]",[0.22041234 0.45816013],172.92155030385436,349.8431006077087,356.8860224434332
12,144.54595823511033,"[4.642476325147118, 0.36441120050283693]",[1.34733118 0.26214594],144.54595823511033,293.09191647022067,300.13483830594515
13,105.19958702415376,"[4.74898848190079, 0.9813145478762421]",[1.13620011 0.89982069],105.19958702415376,214.39917404830751,221.442095884032
14,94.74457249808286,"[1.0187936227927075, 0.22573544981563456]",[1.40913405 0.31600328],94.74457249808286,193.48914499616572,200.5320668318902
15,145.09005787064493,"[4.684205329882579, 0.42045476028637846]",[1.2458091  0.13374774],145.09005787064493,294.18011574128985,301.22303757701434
16,166.29491877339382,"[0.19595745909865378, 0.5321666814359663]",[0.57075334 0.8335775 ],166.29491877339382,336.58983754678763,343.6327593825121
17,173.28679560538785,"[0.14069517830015862, 0.2724928719266581]",[0.0001 0.0001],173.28679560538785,350.5735912107757,357.6165130465002
18,144.00001480653873,"[0.38610289112437673, 0.8430737044463265]",[0.87003383 0.9999    ],144.00001480653873,292.00002961307746,299.04295144880194
19,156.1131002685267,"[4.404791299666927, 0.35102190993168714]",[0.62219963 0.9999    ],156.1131002685267,316.2262005370534,323.2691223727779
20,47.71866239174511,"[1.2873389884489241, 0.678916265515322]",[2.76927835 0.05904502],47.71866239174511,99.43732478349023,106.48024661921471
